Job Title,Company,Location,Salary,Requirements,Years of Experience,Tags,Link
ML & AI Engineer - Data Science Practice,Limendo,Bangalore/Bengaluru,Not disclosed,Bachelor s degree in computer science software engineering or information certification...,2-9 Yrs,_IT Skills_Python_Testing_Data Science_Machine Learning_Artificial Intelligence_Big Data_C++,https://www.naukri.com/job-listings-ml-ai-engineer-data-science-practice-limendo-bangalore-bengaluru-2-to-9-years-121022500185
Data Analyst / Data Science,INFOWEB ,Pune,Not disclosed,We are looking to hire a data analyst to join our data team. You will take responsibili...,0-1 Yrs,_Java_Text Analytics_FRD_Python_SQL_C++_Healthcare Analytics_Use Cases,https://www.naukri.com/job-listings-data-analyst-data-science-infoweb-pune-0-to-1-years-091122007508
Senior Software Engineer - Data Science,LogiNext,Mumbai,Not disclosed,Analysis - Should be able to perform Exploratory Data Analysis and get actionable insig...,4-7 Yrs,_IT Skills_Java_Python_Testing_Machine Learning_Cloud computing_Data analysis_Team management,https://www.naukri.com/job-listings-senior-software-engineer-data-science-loginext-solutions-mumbai-4-to-7-years-140922502289
Senior Engineer - Data Science,CNH Industrial,Gurgaon/Gurugram,Not disclosed,"Knowledge of statistical methods, and Machine Learning are essential requirements for t...",5-10 Yrs,_ISO_data science_Industrial products_QMS_Machine learning_Telematics_Forecasting_Information technology,https://www.naukri.com/job-listings-senior-engineer-data-science-cnh-industrial-gurgaon-gurugram-5-to-10-years-230922502565
Lead Instructor - Data Science,Scaler Academy,Bangalore/Bengaluru,Not disclosed,Create and execute a road map for launching Scaler Data Science course. Help in designi...,1-6 Yrs,_Power house_Health insurance_B2C_data science_Machine learning_Instructor_Process excellence_Product sales,https://www.naukri.com/job-listings-lead-instructor-data-science-scaler-academy-bangalore-bengaluru-1-to-6-years-151122501042
Data Science,Virtuous Transactional Analytics,"Noida, Bangalore/Bengaluru",Not disclosed,Masters degree is a plus4 yrs experience as a Machine Learning Engineer or similar role,2-4 Yrs,_Computer science_Statistical analysis_Application management_data science_Consulting_Machine learning_Healthcare_healthcare analytics,https://www.naukri.com/job-listings-data-science-virtuous-transactional-analytics-pvt-ltd-noida-bangalore-bengaluru-2-to-4-years-150722501271
Data Science SeniorTechnical Manager,Gcc Services,Bangalore/Bengaluru,Not disclosed,About AB InBevWe are the worlds leading brewer bringing people together for a better wo...,8-13 Yrs,_python_machine learning_data science_Machine Learning Algorithms_Logistic Regression_Regression_numpy_Regression Analysis,https://www.naukri.com/job-listings-data-science-seniortechnical-manager-abinbev-gcc-services-private-limited-bangalore-bengaluru-8-to-13-years-091122909267
Manager Data Science,Tredence,"Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,"Graduate degree in a quantitative field (CS, statistics, applied mathematics, machine l...",7-14 Yrs,_Data analysis_Data management_Machine learning_Workflow_Predictive modeling_Test cases_data visualization_Data mining,https://www.naukri.com/job-listings-manager-data-science-tredence-analytics-solutions-private-limited-chennai-gurgaon-gurugram-bangalore-bengaluru-7-to-14-years-270922501592
Technical Manager - Data Sciences,Trane Technologies,Bangalore/Bengaluru,Not disclosed,"Bachelors Degree in Engineering (preferably in mechanical discipline) In this role, you...",3-7 Yrs,_IT Skills_Python_Data Science_Machine Learning_Tableau_HVAC_Time series analysis_Formulation,https://www.naukri.com/job-listings-technical-manager-data-sciences-trane-technologies-bangalore-bengaluru-3-to-7-years-080922501409
Manager Data Science,Tredence,"Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,"Bachelors /Masters /PhD degree in a quantitative field (CS, Machine learning, Mathemati...",6-10 Yrs,_Cloud computing_Computer vision_Data management_Simulation_Analytical_Consulting_Machine learning_Data mining,https://www.naukri.com/job-listings-manager-data-science-tredence-analytics-solutions-private-limited-chennai-gurgaon-gurugram-bangalore-bengaluru-6-to-10-years-280922501550
MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,Bangalore/Bengaluru,Not disclosed,"Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NLP,...",2-5 Yrs,_Training_deep learning_tableau_data science_Coding_Analytical_Machine learning_Subject Matter Expert,https://www.naukri.com/job-listings-machine-learning-data-science-trainer-ethnotech-academy-bangalore-bengaluru-2-to-5-years-270922500482
Data Science- AI Product,Spectral Consultants,Bangalore/Bengaluru,Not disclosed,Bachelors with 3-7 yrs Masters degree with 5-7 yrs,3-7 Yrs,_Version control_GIT_data science_spark_Conceptualization_Design development_Deployment_Product design,https://www.naukri.com/job-listings-data-science-ai-product-spectral-consultants-bangalore-bengaluru-3-to-7-years-130922500951
Data Science,Cognizer,Bangalore/Bengaluru,Not disclosed,"Strong in problem solving, algorithms and data structures Proficient in Python Hands on...",2-4 Yrs,_Python_Machine learning_GCP_Natural Language Processing_structures_Deep Learning Model_Deep learning_AWS,https://www.naukri.com/job-listings-data-science-cognizer-india-private-limited-bangalore-bengaluru-2-to-4-years-080922501421
Data Science Manager,Innominds Software,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Not disclosed,Experience across a range of algorithms and methods in data preparation and analysis Ed...,10-20 Yrs,_Python_SparkML_H2O_analytics_FlinkML_R_Learning_Theano,https://www.naukri.com/job-listings-data-science-manager-innominds-software-pvt-ltd-hyderabad-secunderabad-pune-bangalore-bengaluru-10-to-20-years-190922501638
Pre Sales-Data Science,Absolutdata,"Hybrid - Noida, Pune, Gurgaon/Gurugram",Not disclosed,Relevant presales experience in a product or service based organization dealing with sa...,6-11 Yrs,_Data Science_Presales,https://www.naukri.com/job-listings-pre-sales-data-science-absolutdata-research-analytics-solutions-pvt-lt-noida-pune-gurgaon-gurugram-6-to-11-years-091122012487
