,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
35,Consultant - Data Science/Machine Learning Algorithms - KPO,PYLON Management Consulting Private Limited,Multiple,"Having minimum 4+ years of experience Strong programming experience in Python / R, atle...",4-7 Yrs," Machine Learning, Python, NLP, R, Data Science, Data Management, Operations",https://www.naukri.com/job-listings-consultant-data-science-machine-learning-algorithms-kpo-pylon-management-consulting-private-limited-pune-gurgaon-gurugram-bangalore-bengaluru-4-to-7-years-291122912328
36,Manager Data Science,Marriott,Pune,You understand the foundations of statistics and machine learning and can work in high ...,4-7 Yrs," CVS, Claims, Machine learning, Javascript, Agile, Oncology, Scrum, Epidemiology",https://www.naukri.com/job-listings-manager-data-science-marriott-pune-4-to-7-years-191122501038
37,"Data Science, NLP, Deep Learning Professional",Tech Mahindra,Pune,Individuals should be able to break down business problems into smaller components and ...,5-10 Yrs," Machine Learning, Python, Data science, skLearn, Deep Learning, keras, pytorch, pandas",https://www.naukri.com/job-listings-data-science-nlp-deep-learning-professional-tech-mahindra-ltd-pune-5-to-10-years-241122900139
38,SnapLogic Data Science Practitioner,Accenture,Mumbai,Educational Qualification : Bachelors degree and / or relevant experience required with...,2-4 Yrs," Consulting, JDBC, Informatica, Microsoft Dynamics, Oracle, REST, communication, SOAP",https://www.naukri.com/job-listings-snaplogic-data-science-practitioner-accenture-solutions-pvt-ltd-mumbai-2-to-4-years-221122905971
39,ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,Gurgaon,"6 years of data science experience using statistics, machine learning, or forecasting E...",2-6 Yrs," Consulting, Application development, Analytics, SQL, Python, Supply chain management, Version control, Machine learning",https://www.naukri.com/job-listings-acn-applied-intelligence-cc-data-science-in-09-accenture-solutions-pvt-ltd-gurgaon-gurugram-2-to-6-years-221122905918
40,ACN - Applied Intelligence - CC - Data Science (IN) - 07,Accenture,Gurgaon,At least 2-3 years of experience of leading junior team members on projects using suppl...,5-10 Yrs," Supply chain management, Consulting, Application development, SQL, Python, IT Skills, Data Science, Machine Learning",https://www.naukri.com/job-listings-acn-applied-intelligence-cc-data-science-in-07-accenture-solutions-pvt-ltd-gurgaon-gurugram-5-to-10-years-221122905924
41,ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,Chennai,Preferred Educational Background PhD / Masters / Bachelors degree in Statistics / Econo...,3-5 Yrs," Data analysis, Machine learning, Healthcare, SDK, Analytics, Publishing, Analytical, Vulnerability assessment",https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-chennai-3-to-5-years-221122905704
42,ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,Mumbai,Preferred Educational Background PhD / Masters / Bachelors degree in Statistics / Econo...,3-5 Yrs," Data analysis, Machine learning, Healthcare, SDK, Analytics, Publishing, Analytical, Vulnerability assessment",https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-221122905703
43,ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,Gurgaon,Preferred Educational Background PhD / Masters / Bachelors degree in Statistics / Econo...,3-5 Yrs," Data analysis, Machine learning, Healthcare, SDK, Analytics, Publishing, Analytical, Vulnerability assessment",https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-gurgaon-gurugram-3-to-5-years-221122905702
44,Data Science Intern/Co-Op,Brahma Consulting Group,Hyderabad,This position has a strong potential for full time hire as an associate data scientist ...,1-2 Yrs," Python, Predictive Modelling, R, Statistical Analysis, SQL, advanced analytics, data science, Intern",https://www.naukri.com/job-listings-data-science-intern-co-op-brahma-consulting-group-hyderabad-secunderabad-1-to-2-years-251122501700
45,Data Scientist - Healthcare / Life Sciences,TalentCo Search Pvt Ltd,Pune,"Experience of working on end-to-end data science pipeline: problem scoping, data gather...",3-8 Yrs," data science, R, AI/ML, EDA, data structures, machine learning, Python",https://www.naukri.com/job-listings-data-scientist-healthcare-life-sciences-talentco-search-pvt-ltd-pune-3-to-8-years-301122911345
46,Data Science,Sonata Software,Bangalore,Should have a Bachelor / Masters degree in Computer Science or Engineering or Statistic...,4-9 Yrs," IT Skills, Java, Python, Testing, Data Science, Machine Learning, Cloud, deep learning",https://www.naukri.com/job-listings-data-science-sonata-software-limited-bangalore-bengaluru-4-to-9-years-181122500006
